order_id,customer_id,product_id,quantity,order_date,gross_sales,discount,net_sales,costs,contribution_margin
ORD5089,CUST1154,PROD103,47,2024-01-11 17:54:57.398265510,178.13,0.12,156.75,101.05,55.7
ORD5090,CUST1092,PROD106,61,2024-01-11 20:48:49.953302201,118.34,0.13,102.96,67.1,35.86
ORD5091,CUST1159,PROD100,31,2024-01-11 23:42:42.508338892,251.72,0.14,216.48,142.6,73.88
ORD5092,CUST1177,PROD143,80,2024-01-12 02:36:35.063375583,500.8,0.01,495.79,284.0,211.79
ORD5093,CUST1060,PROD144,96,2024-01-12 05:30:27.618412274,476.16,0.06,447.59,269.76,177.83
ORD5094,CUST1121,PROD141,22,2024-01-12 08:24:20.173448965,14.08,0.01,13.94,7.92,6.02
ORD5095,CUST1050,PROD146,93,2024-01-12 11:18:12.728485657,753.3,0.03,730.7,426.87,303.83
ORD5096,CUST1146,PROD112,86,2024-01-12 14:12:05.283522348,230.48,0.03,223.57,130.72,92.85
ORD5097,CUST1020,PROD121,43,2024-01-12 17:05:57.838559039,358.19,0.07,333.12,202.96,130.16
ORD5098,CUST1004,PROD120,67,2024-01-12 19:59:50.393595730,77.72,0.04,74.61,44.22,30.39
ORD5099,CUST1091,PROD121,54,2024-01-12 22:53:42.948632421,449.82,0.02,440.82,254.88,185.94
ORD5100,CUST1169,PROD127,10,2024-01-13 01:47:35.503669112,51.0,0.03,49.47,28.9,20.57
ORD5101,CUST1060,PROD108,42,2024-01-13 04:41:28.058705803,157.08,0.02,153.94,89.04,64.9
ORD5102,CUST1021,PROD125,64,2024-01-13 07:35:20.613742495,78.08,0.15,66.37,44.16,22.21
ORD5103,CUST1148,PROD108,21,2024-01-13 10:29:13.168779186,78.54,0.11,69.9,44.52,25.38
ORD5104,CUST1069,PROD114,80,2024-01-13 13:23:05.723815877,63.2,0.15,53.72,36.0,17.72
ORD5105,CUST1000,PROD109,76,2024-01-13 16:16:58.278852568,185.44,0.07,172.46,104.88,67.58
ORD5106,CUST1132,PROD123,66,2024-01-13 19:10:50.833889259,353.1,0.04,338.98,199.98,139.0
ORD5107,CUST1011,PROD141,41,2024-01-13 22:04:43.388925950,26.24,0.12,23.09,14.76,8.33
ORD5108,CUST1089,PROD107,24,2024-01-14 00:58:35.943962641,141.36,0.05,134.29,80.16,54.13
ORD5109,CUST1045,PROD123,35,2024-01-14 03:52:28.498999332,187.25,0.04,179.76,106.05,73.71
ORD5110,CUST1033,PROD115,56,2024-01-14 06:46:21.054036024,159.04,0.03,154.27,90.16,64.11
ORD5111,CUST1176,PROD148,30,2024-01-14 09:40:13.609072715,196.5,0.02,192.57,111.3,81.27
ORD5112,CUST1077,PROD125,57,2024-01-14 12:34:06.164109406,69.54,0.04,66.76,39.33,27.43
ORD5113,CUST1044,PROD126,94,2024-01-14 15:27:58.719146097,733.2,0.05,696.54,415.48,281.06
ORD5114,CUST1154,PROD136,47,2024-01-14 18:21:51.274182788,348.27,0.1,313.44,197.4,116.04
ORD5115,CUST1072,PROD103,35,2024-01-14 21:15:43.829219479,132.65,0.01,131.32,75.25,56.07
ORD5116,CUST1025,PROD149,19,2024-01-15 00:09:36.384256170,129.39,0.03,125.51,73.34,52.17
ORD5117,CUST1046,PROD123,8,2024-01-15 03:03:28.939292861,42.8,0.12,37.66,24.24,13.42
ORD5118,CUST1120,PROD118,26,2024-01-15 05:57:21.494329553,72.02,0.02,70.58,40.82,29.76
ORD5119,CUST1055,PROD135,71,2024-01-15 08:51:14.049366244,269.09,0.05,255.64,152.65,102.99
ORD5120,CUST1093,PROD138,30,2024-01-15 11:45:06.604402935,31.8,0.13,27.67,18.0,9.67
ORD5121,CUST1106,PROD109,7,2024-01-15 14:38:59.159439626,17.08,0.02,16.74,9.66,7.08
ORD5122,CUST1062,PROD124,67,2024-01-15 17:32:51.714476317,546.05,0.01,540.59,309.54,231.05
ORD5123,CUST1047,PROD117,65,2024-01-15 20:26:44.269513008,358.8,0.07,333.68,203.45,130.23
ORD5124,CUST1060,PROD118,36,2024-01-15 23:20:36.824549699,99.72,0.05,94.73,56.52,38.21
ORD5125,CUST1080,PROD135,25,2024-01-16 02:14:29.379586390,94.75,0.08,87.17,53.75,33.42
ORD5126,CUST1025,PROD109,37,2024-01-16 05:08:21.934623082,90.28,0.12,79.45,51.06,28.39
ORD5127,CUST1035,PROD132,1,2024-01-16 08:02:14.489659773,8.7,0.02,8.53,4.93,3.6
ORD5128,CUST1000,PROD149,15,2024-01-16 10:56:07.044696464,102.15,0.09,92.96,57.9,35.06
ORD5129,CUST1007,PROD104,37,2024-01-16 13:49:59.599733155,52.17,0.08,48.0,29.6,18.4
ORD5130,CUST1112,PROD146,13,2024-01-16 16:43:52.154769846,105.3,0.02,103.19,59.67,43.52
ORD5131,CUST1098,PROD148,8,2024-01-16 19:37:44.709806537,52.4,0.09,47.68,29.68,18.0
ORD5132,CUST1179,PROD134,5,2024-01-16 22:31:37.264843228,33.7,0.04,32.35,19.1,13.25
ORD5133,CUST1046,PROD143,60,2024-01-17 01:25:29.819879920,375.6,0.07,349.31,213.0,136.31
ORD5134,CUST1126,PROD133,73,2024-01-17 04:19:22.374916611,266.45,0.01,263.79,151.11,112.68
ORD5135,CUST1055,PROD132,1,2024-01-17 07:13:14.929953302,8.7,0.07,8.09,4.93,3.16
ORD5136,CUST1013,PROD120,36,2024-01-17 10:07:07.484989993,41.76,0.05,39.67,23.76,15.91
ORD5137,CUST1027,PROD116,35,2024-01-17 13:01:00.040026684,137.55,0.12,121.04,78.05,42.99
ORD5138,CUST1077,PROD121,66,2024-01-17 15:54:52.595063375,549.78,0.01,544.28,311.52,232.76
ORD5139,CUST1129,PROD147,63,2024-01-17 18:48:45.150100066,338.94,0.06,318.6,192.15,126.45
ORD5140,CUST1108,PROD136,23,2024-01-17 21:42:37.705136757,170.43,0.07,158.5,96.6,61.9
ORD5141,CUST1153,PROD114,9,2024-01-18 00:36:30.260173449,7.11,0.11,6.33,4.05,2.28
ORD5142,CUST1013,PROD134,34,2024-01-18 03:30:22.815210140,229.16,0.09,208.54,129.88,78.66
ORD5143,CUST1186,PROD127,46,2024-01-18 06:24:15.370246831,234.6,0.1,211.14,132.94,78.2
ORD5144,CUST1055,PROD106,78,2024-01-18 09:18:07.925283522,151.32,0.12,133.16,85.8,47.36
ORD5145,CUST1114,PROD131,4,2024-01-18 12:12:00.480320213,18.08,0.13,15.73,10.24,5.49
ORD5146,CUST1006,PROD110,30,2024-01-18 15:05:53.035356904,81.9,0.05,77.81,46.5,31.31
ORD5147,CUST1002,PROD109,95,2024-01-18 17:59:45.590393595,231.8,0.08,213.26,131.1,82.16
ORD5148,CUST1110,PROD108,75,2024-01-18 20:53:38.145430286,280.5,0.13,244.04,159.0,85.04
ORD5149,CUST1150,PROD113,99,2024-01-18 23:47:30.700466978,424.71,0.15,361.0,240.57,120.43
ORD5150,CUST1106,PROD112,72,2024-01-19 02:41:23.255503669,192.96,0.13,167.88,109.44,58.44
ORD5151,CUST1017,PROD124,3,2024-01-19 05:35:15.810540360,24.45,0.06,22.98,13.86,9.12
ORD5152,CUST1037,PROD101,14,2024-01-19 08:29:08.365577051,118.86,0.03,115.29,67.34,47.95
ORD5153,CUST1114,PROD134,60,2024-01-19 11:23:00.920613742,404.4,0.07,376.09,229.2,146.89
ORD5154,CUST1014,PROD106,77,2024-01-19 14:16:53.475650433,149.38,0.11,132.95,84.7,48.25
ORD5155,CUST1191,PROD120,45,2024-01-19 17:10:46.030687124,52.2,0.07,48.55,29.7,18.85
ORD5156,CUST1118,PROD117,96,2024-01-19 20:04:38.585723815,529.92,0.07,492.83,300.48,192.35
ORD5157,CUST1027,PROD102,34,2024-01-19 22:58:31.140760507,34.34,0.13,29.88,19.38,10.5
ORD5158,CUST1038,PROD141,45,2024-01-20 01:52:23.695797198,28.8,0.05,27.36,16.2,11.16
ORD5159,CUST1184,PROD138,61,2024-01-20 04:46:16.250833889,64.66,0.13,56.25,36.6,19.65
ORD5160,CUST1016,PROD140,83,2024-01-20 07:40:08.805870580,136.12,0.06,127.95,77.19,50.76
ORD5161,CUST1085,PROD148,16,2024-01-20 10:34:01.360907271,104.8,0.05,99.56,59.36,40.2
ORD5162,CUST1125,PROD110,66,2024-01-20 13:27:53.915943962,180.18,0.07,167.57,102.3,65.27
ORD5163,CUST1043,PROD138,40,2024-01-20 16:21:46.470980653,42.4,0.11,37.74,24.0,13.74
ORD5164,CUST1024,PROD123,17,2024-01-20 19:15:39.026017344,90.95,0.02,89.13,51.51,37.62
ORD5165,CUST1144,PROD145,34,2024-01-20 22:09:31.581054036,229.16,0.03,222.29,129.88,92.41
ORD5166,CUST1012,PROD118,16,2024-01-21 01:03:24.136090727,44.32,0.14,38.12,25.12,13.0
ORD5167,CUST1024,PROD103,60,2024-01-21 03:57:16.691127418,227.4,0.03,220.58,129.0,91.58
ORD5168,CUST1067,PROD125,66,2024-01-21 06:51:09.246164109,80.52,0.09,73.27,45.54,27.73
ORD5169,CUST1137,PROD137,66,2024-01-21 09:45:01.801200800,345.84,0.09,314.71,196.02,118.69
ORD5170,CUST1066,PROD141,90,2024-01-21 12:38:54.356237491,57.6,0.07,53.57,32.4,21.17
ORD5171,CUST1108,PROD131,13,2024-01-21 15:32:46.911274182,58.76,0.1,52.88,33.28,19.6
ORD5172,CUST1145,PROD138,56,2024-01-21 18:26:39.466310873,59.36,0.03,57.58,33.6,23.98
ORD5173,CUST1110,PROD144,31,2024-01-21 21:20:32.021347565,153.76,0.08,141.46,87.11,54.35
ORD5174,CUST1110,PROD145,34,2024-01-22 00:14:24.576384256,229.16,0.06,215.41,129.88,85.53
ORD5175,CUST1033,PROD135,39,2024-01-22 03:08:17.131420947,147.81,0.1,133.03,83.85,49.18
ORD5176,CUST1110,PROD139,67,2024-01-22 06:02:09.686457638,55.61,0.02,54.5,31.49,23.01
ORD5177,CUST1007,PROD136,8,2024-01-22 08:56:02.241494329,59.28,0.09,53.94,33.6,20.34
ORD5178,CUST1167,PROD132,87,2024-01-22 11:49:54.796531020,756.9,0.03,734.19,428.91,305.28
ORD5179,CUST1112,PROD135,78,2024-01-22 14:43:47.351567711,295.62,0.04,283.8,167.7,116.1
ORD5180,CUST1082,PROD102,55,2024-01-22 17:37:39.906604402,55.55,0.03,53.88,31.35,22.53
ORD5181,CUST1041,PROD108,27,2024-01-22 20:31:32.461641094,100.98,0.03,97.95,57.24,40.71
ORD5182,CUST1168,PROD107,93,2024-01-22 23:25:25.016677785,547.77,0.12,482.04,310.62,171.42
ORD5183,CUST1100,PROD132,53,2024-01-23 02:19:17.571714476,461.1,0.04,442.66,261.29,181.37
ORD5184,CUST1005,PROD105,39,2024-01-23 05:13:10.126751167,129.48,0.14,111.35,73.32,38.03
ORD5185,CUST1179,PROD140,65,2024-01-23 08:07:02.681787858,106.6,0.15,90.61,60.45,30.16
ORD5186,CUST1025,PROD138,17,2024-01-23 11:00:55.236824549,18.02,0.09,16.4,10.2,6.2
ORD5187,CUST1063,PROD103,30,2024-01-23 13:54:47.791861240,113.7,0.02,111.43,64.5,46.93
ORD5188,CUST1186,PROD112,53,2024-01-23 16:48:40.346897931,142.04,0.06,133.52,80.56,52.96
ORD5189,CUST1183,PROD148,13,2024-01-23 19:42:32.901934623,85.15,0.12,74.93,48.23,26.7
ORD5190,CUST1058,PROD101,21,2024-01-23 22:36:25.456971314,178.29,0.06,167.59,101.01,66.58
ORD5191,CUST1108,PROD104,19,2024-01-24 01:30:18.012008005,26.79,0.01,26.52,15.2,11.32
ORD5192,CUST1197,PROD143,53,2024-01-24 04:24:10.567044696,331.78,0.08,305.24,188.15,117.09
ORD5193,CUST1120,PROD126,19,2024-01-24 07:18:03.122081387,148.2,0.13,128.93,83.98,44.95
ORD5194,CUST1032,PROD131,57,2024-01-24 10:11:55.677118078,257.64,0.12,226.72,145.92,80.8
ORD5195,CUST1180,PROD120,25,2024-01-24 13:05:48.232154769,29.0,0.03,28.13,16.5,11.63
ORD5196,CUST1149,PROD107,86,2024-01-24 15:59:40.787191461,506.54,0.1,455.89,287.24,168.65
ORD5197,CUST1020,PROD137,31,2024-01-24 18:53:33.342228152,162.44,0.03,157.57,92.07,65.5
ORD5198,CUST1197,PROD107,81,2024-01-24 21:47:25.897264843,477.09,0.03,462.78,270.54,192.24
ORD5199,CUST1069,PROD149,55,2024-01-25 00:41:18.452301534,374.55,0.13,325.86,212.3,113.56
ORD5200,CUST1111,PROD102,23,2024-01-25 03:35:11.007338225,23.23,0.04,22.3,13.11,9.19
ORD5201,CUST1003,PROD143,32,2024-01-25 06:29:03.562374916,200.32,0.04,192.31,113.6,78.71
ORD5202,CUST1093,PROD102,62,2024-01-25 09:22:56.117411607,62.62,0.0,62.62,35.34,27.28
ORD5203,CUST1074,PROD121,74,2024-01-25 12:16:48.672448298,616.42,0.13,536.29,349.28,187.01
ORD5204,CUST1189,PROD105,10,2024-01-25 15:10:41.227484990,33.2,0.12,29.22,18.8,10.42
ORD5205,CUST1061,PROD101,72,2024-01-25 18:04:33.782521681,611.28,0.09,556.26,346.32,209.94
ORD5206,CUST1093,PROD122,54,2024-01-25 20:58:26.337558372,215.46,0.11,191.76,122.04,69.72
ORD5207,CUST1094,PROD143,52,2024-01-25 23:52:18.892595063,325.52,0.02,319.01,184.6,134.41
ORD5208,CUST1151,PROD101,20,2024-01-26 02:46:11.447631754,169.8,0.07,157.91,96.2,61.71
ORD5209,CUST1054,PROD137,32,2024-01-26 05:40:04.002668445,167.68,0.05,159.3,95.04,64.26
ORD5210,CUST1136,PROD116,14,2024-01-26 08:33:56.557705136,55.02,0.01,54.47,31.22,23.25
ORD5211,CUST1130,PROD134,50,2024-01-26 11:27:49.112741827,337.0,0.07,313.41,191.0,122.41
ORD5212,CUST1030,PROD133,28,2024-01-26 14:21:41.667778519,102.2,0.14,87.89,57.96,29.93
ORD5213,CUST1039,PROD122,53,2024-01-26 17:15:34.222815210,211.47,0.01,209.36,119.78,89.58
ORD5214,CUST1035,PROD129,24,2024-01-26 20:09:26.777851901,94.32,0.04,90.55,53.52,37.03
ORD5215,CUST1151,PROD107,79,2024-01-26 23:03:19.332888592,465.31,0.03,451.35,263.86,187.49
ORD5216,CUST1005,PROD121,22,2024-01-27 01:57:11.887925283,183.26,0.04,175.93,103.84,72.09
ORD5217,CUST1065,PROD143,30,2024-01-27 04:51:04.442961974,187.8,0.14,161.51,106.5,55.01
ORD5218,CUST1074,PROD135,63,2024-01-27 07:44:56.997998665,238.77,0.07,222.06,135.45,86.61
ORD5219,CUST1003,PROD104,4,2024-01-27 10:38:49.553035357,5.64,0.07,5.25,3.2,2.05
ORD5220,CUST1078,PROD112,77,2024-01-27 13:32:42.108072048,206.36,0.11,183.66,117.04,66.62
ORD5221,CUST1133,PROD128,59,2024-01-27 16:26:34.663108739,111.51,0.02,109.28,63.13,46.15
ORD5222,CUST1117,PROD130,87,2024-01-27 19:20:27.218145430,606.39,0.07,563.94,343.65,220.29
ORD5223,CUST1112,PROD146,8,2024-01-27 22:14:19.773182121,64.8,0.06,60.91,36.72,24.19
ORD5224,CUST1093,PROD115,82,2024-01-28 01:08:12.328218812,232.88,0.09,211.92,132.02,79.9
ORD5225,CUST1178,PROD141,12,2024-01-28 04:02:04.883255503,7.68,0.15,6.53,4.32,2.21
ORD5226,CUST1061,PROD129,31,2024-01-28 06:55:57.438292194,121.83,0.12,107.21,69.13,38.08
ORD5227,CUST1184,PROD115,78,2024-01-28 09:49:49.993328886,221.52,0.06,208.23,125.58,82.65
ORD5228,CUST1193,PROD111,34,2024-01-28 12:43:42.548365577,119.34,0.12,105.02,67.66,37.36
ORD5229,CUST1078,PROD116,82,2024-01-28 15:37:35.103402268,322.26,0.03,312.59,182.86,129.73
ORD5230,CUST1135,PROD115,98,2024-01-28 18:31:27.658438959,278.32,0.0,278.32,157.78,120.54
ORD5231,CUST1025,PROD111,75,2024-01-28 21:25:20.213475650,263.25,0.03,255.35,149.25,106.1
ORD5232,CUST1178,PROD107,76,2024-01-29 00:19:12.768512341,447.64,0.05,425.26,253.84,171.42
ORD5233,CUST1172,PROD119,49,2024-01-29 03:13:05.323549032,80.36,0.08,73.93,45.57,28.36
ORD5234,CUST1043,PROD102,79,2024-01-29 06:06:57.878585723,79.79,0.09,72.61,45.03,27.58
ORD5235,CUST1132,PROD115,57,2024-01-29 09:00:50.433622415,161.88,0.14,139.22,91.77,47.45
ORD5236,CUST1069,PROD129,95,2024-01-29 11:54:42.988659106,373.35,0.08,343.48,211.85,131.63
ORD5237,CUST1153,PROD144,93,2024-01-29 14:48:35.543695797,461.28,0.08,424.38,261.33,163.05
ORD5238,CUST1117,PROD122,26,2024-01-29 17:42:28.098732488,103.74,0.01,102.7,58.76,43.94
ORD5239,CUST1067,PROD127,18,2024-01-29 20:36:20.653769179,91.8,0.01,90.88,52.02,38.86
ORD5240,CUST1018,PROD139,96,2024-01-29 23:30:13.208805870,79.68,0.08,73.31,45.12,28.19
ORD5241,CUST1019,PROD104,86,2024-01-30 02:24:05.763842561,121.26,0.07,112.77,68.8,43.97
ORD5242,CUST1112,PROD119,38,2024-01-30 05:17:58.318879252,62.32,0.13,54.22,35.34,18.88
ORD5243,CUST1139,PROD139,81,2024-01-30 08:11:50.873915944,67.23,0.02,65.89,38.07,27.82
ORD5244,CUST1046,PROD143,87,2024-01-30 11:05:43.428952635,544.62,0.0,544.62,308.85,235.77
ORD5245,CUST1000,PROD100,88,2024-01-30 13:59:35.983989326,714.56,0.07,664.54,404.8,259.74
ORD5246,CUST1089,PROD129,50,2024-01-30 16:53:28.539026017,196.5,0.04,188.64,111.5,77.14
ORD5247,CUST1141,PROD120,8,2024-01-30 19:47:21.094062708,9.28,0.01,9.19,5.28,3.91
